Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Flight Controller MCU","Holybro Pixhawk 6C","Primary flight control unit based on STM32H753, includes integrated IMU (ICM-20689) and barometer (MS5611) for stable flight and navigation.","electrical","mcu",1,299.99,299.99,"https://www.holybro.com/products/pixhawk-6c"
"AI Navigation Computer","NVIDIA Jetson Xavier NX Module","Primary AI and flight control unit for autonomous operation and sensor data processing.","electrical","mcu",1,499.00,499.00,"https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-xavier-nx/"
"Main RTK GPS Module","Here4 GNSS Module","Provides global positioning data for accurate navigation and position hold.","electrical","sensor",1,220.00,220.00,"https://www.digikey.com/en/products/detail/here-technologies-pty-ltd/HERE4/22002131"
"Auxiliary RTK GPS Module","Here4 GNSS Module","Provides global positioning data for accurate navigation and position hold.","electrical","sensor",1,220.00,220.00,"https://www.digikey.com/en/products/detail/here-technologies-pty-ltd/HERE4/22002131"
"High Precision Barometer","MS5611 Barometric Pressure Sensor","High-resolution pressure sensor for accurate altitude measurement, crucial for recovery deployment.","electrical","sensor",1,15.00,15.00,"https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/MS5611-01BA03/2403606"
"Front Obstacle LiDAR","Garmin LiDAR-Lite v4 LED","Compact optical distance sensor for obstacle detection and ground sensing.","electrical","sensor",1,149.99,149.99,"https://www.amazon.com/Garmin-Lidar-Lite-v4-LED/dp/B088R9F5P9"
"Back Obstacle LiDAR","Garmin LiDAR-Lite v4 LED","Compact optical distance sensor for obstacle detection and ground sensing.","electrical","sensor",1,149.99,149.99,"https://www.amazon.com/Garmin-Lidar-Lite-v4-LED/dp/B088R9F5P9"
"Left Obstacle LiDAR","Garmin LiDAR-Lite v4 LED","Compact optical distance sensor for obstacle detection and ground sensing.","electrical","sensor",1,149.99,149.99,"https://www.amazon.com/Garmin-Lidar-Lite-v4-LED/dp/B088R9F5P9"
"Right Obstacle LiDAR","Garmin LiDAR-Lite v4 LED","Compact optical distance sensor for obstacle detection and ground sensing.","electrical","sensor",1,149.99,149.99,"https://www.amazon.com/Garmin-Lidar-Lite-v4-LED/dp/B088R9F5P9"
"Downward Vision Camera","Raspberry Pi Camera Module 3","High-resolution camera for visual sensing and streaming.","electrical","sensor",1,35.00,35.00,"https://www.adafruit.com/product/5717"
"Forward Vision Camera","Intel RealSense Depth Camera D435i","LiDAR or depth camera for navigation and environmental awareness, integrated with ROS.","electrical","sensor",1,399.00,399.00,"https://store.intelrealsense.com/buy-intel-realsense-depth-camera-d435i.html"
"Payload Weight Sensor","Load Cell 20kg with HX711 ADC","","electrical","sensor",1,20.00,20.00,"https://www.amazon.com/Load-Cell-Weighing-Sensor-HX711/dp/B07R8M575R"
"Battery Management System","Smart BMS 12S LiPo with UART/CAN","","electrical","power",1,80.00,80.00,"https://www.amazon.com/Daly-Smart-BMS-12S-Balance/dp/B0BNP7R9M1"
"Power Distribution Board","Matek Systems PDB FCHUB-6S","Regulates main battery voltage to stable 5V/12V for companion computer and peripherals.","electrical","power",1,20.00,20.00,"https://www.racedayquads.com/products/matek-fchub-6s-power-distribution-board-pdb"
"Motor 1 ESC","T-Motor Flame 80A HV","Electronic Speed Controller for the front-left motor.","electrical","actuator",1,75.00,75.00,"https://www.getfpv.com/t-motor-flame-80a-hv-esc-6-12s.html"
"Motor 2 ESC","T-Motor Flame 80A HV","Electronic Speed Controller for the front-left motor.","electrical","actuator",1,75.00,75.00,"https://www.getfpv.com/t-motor-flame-80a-hv-esc-6-12s.html"
"Motor 3 ESC","T-Motor Flame 80A HV","Electronic Speed Controller for the front-left motor.","electrical","actuator",1,75.00,75.00,"https://www.getfpv.com/t-motor-flame-80a-hv-esc-6-12s.html"
"Motor 4 ESC","T-Motor Flame 80A HV","Electronic Speed Controller for the front-left motor.","electrical","actuator",1,75.00,75.00,"https://www.getfpv.com/t-motor-flame-80a-hv-esc-6-12s.html"
"Motor 5 ESC","T-Motor Flame 80A HV","Electronic Speed Controller for the front-left motor.","electrical","actuator",1,75.00,75.00,"https://www.getfpv.com/t-motor-flame-80a-hv-esc-6-12s.html"
"Motor 6 ESC","T-Motor Flame 80A HV","Electronic Speed Controller for the front-left motor.","electrical","actuator",1,75.00,75.00,"https://www.getfpv.com/t-motor-flame-80a-hv-esc-6-12s.html"
"Propulsion Motor 1","T-Motor U8 II KV100","High-efficiency brushless DC motor, optimized for large propellers and long endurance fixed-wing flight.","electrical","actuator",1,150.00,150.00,"https://www.amazon.com/T-Motor-Brushless-Propulsion-Multicopter-Quadcopter/dp/B07R8B1G15"
"Propulsion Motor 2","T-Motor U8 II KV100","High-efficiency brushless DC motor, optimized for large propellers and long endurance fixed-wing flight.","electrical","actuator",1,150.00,150.00,"https://www.amazon.com/T-Motor-Brushless-Propulsion-Multicopter-Quadcopter/dp/B07R8B1G15"
"Propulsion Motor 3","T-Motor U8 II KV100","High-efficiency brushless DC motor, optimized for large propellers and long endurance fixed-wing flight.","electrical","actuator",1,150.00,150.00,"https://www.amazon.com/T-Motor-Brushless-Propulsion-Multicopter-Quadcopter/dp/B07R8B1G15"
"Propulsion Motor 4","T-Motor U8 II KV100","High-efficiency brushless DC motor, optimized for large propellers and long endurance fixed-wing flight.","electrical","actuator",1,150.00,150.00,"https://www.amazon.com/T-Motor-Brushless-Propulsion-Multicopter-Quadcopter/dp/B07R8B1G15"
"Propulsion Motor 5","T-Motor U8 II KV100","High-efficiency brushless DC motor, optimized for large propellers and long endurance fixed-wing flight.","electrical","actuator",1,150.00,150.00,"https://www.amazon.com/T-Motor-Brushless-Propulsion-Multicopter-Quadcopter/dp/B07R8B1G15"
"Propulsion Motor 6","T-Motor U8 II KV100","High-efficiency brushless DC motor, optimized for large propellers and long endurance fixed-wing flight.","electrical","actuator",1,150.00,150.00,"https://www.amazon.com/T-Motor-Brushless-Propulsion-Multicopter-Quadcopter/dp/B07R8B1G15"
"Payload Winch Motor","Brushless DC Geared Motor with Encoder","Brushless motor with integrated encoder for left wheel propulsion.","electrical","actuator",1,60.00,60.00,"https://www.amazon.com/Brushless-Encoder-Permanent-Magnet-Electric/dp/B09V7N86G7"
"Winch Motor Driver","Sabertooth 2x32A Motor Driver","Dual-channel motor driver for controlling the left and right drive motors.","electrical","actuator",1,150.00,150.00,"https://www.dimensionengineering.com/products/sabertooth2x32"
"4G/5G Cellular Modem","Quectel RM500Q-GL 5G NR Module","5G NR Sub-6GHz and LTE-A Cat 16 module for cellular connectivity.","electrical","module",1,250.00,250.00,"https://www.digikey.com/en/products/detail/quectel/RM500Q-GL/11696225"
"Digital Video Transmitter","DJI Air Unit O3","Transmits high-definition video feed to ground station.","electrical","module",1,229.00,229.00,"https://www.dji.com/o3-air-unit"
